RandomForest,GradientBoosting,ExtraTrees,BayesianRidge,Ridge,LGBM,CatBoost,Average RMSE per Fold
1.1378631080711217,1.130215241067652,1.1252172040089186,1.110548971060935,1.1134207485678225,1.135364989771046,1.1183882767090338,1.12443121989379
1.1686998155365773,1.155236223281893,1.1481391689709353,1.1578883230322887,1.1600529640973962,1.1562114967864316,1.1424315333103463,1.155522789287981
1.1073824696789192,1.108369560335652,1.1192716820745658,1.1132158665801035,1.1210598567016588,1.1197293209715842,1.1007614646698172,1.1128271744303289
1.1547970340107259,1.1314286122555288,1.1507375425269377,1.1333193700629118,1.13493103290566,1.1343516653531691,1.122382177623472,1.1374210621054865
1.1855148839135852,1.154437150978768,1.1713251978142838,1.154601867646516,1.156106426264257,1.1687797893491279,1.1448887684246551,1.1622362977701706
1.1714299686279748,1.1467981259484856,1.1441208959522688,1.1987358057913216,1.2169427629942553,1.1772408911450682,1.157387511737735,1.1732365660281585
1.1736644970364734,1.1415483215640432,1.1546052161782885,1.1345646084990095,1.1377217697894355,1.1576412239102418,1.141488058250124,1.1487476707468023
1.1278700687603964,1.1146996104535603,1.1329508586857944,1.109563857080461,1.1150617076934388,1.1145368518085752,1.1075213241885227,1.1174577540958213
1.1504487468103664,1.152320108821643,1.1345108423851273,1.1372430570726229,1.1436788564863498,1.1430859988682072,1.1318590867151639,1.1418780995942115
1.1019162814688628,1.0898223019978253,1.1021801645306335,1.0865434029106993,1.0861382209386117,1.0913008675097662,1.0798150495760892,1.0911023269903555
